Dot Product examples,,,,,
Testing 2 variants of dot product(),,,,,
  on arrays of 20 sizes from 1 to 3972,,,,,
Test simple dot product 0,,,,,
Testing optimized dot product 1,,,,,
size, Simple Dot Product, Optimized Dot Product,,CPE Dot_Simple,CPE Dot_Optimized
2000,12165,12045,,6.0825,6.0225
24000,93390,27108,,3.89125,1.1295
90000,436782,98778,,4.853133333,1.097533333
200000,1083972,218736,,5.41986,1.09368
354000,1973628,433848,,5.575220339,1.225559322
552000,3107907,690018,,5.630266304,1.250032609
794000,4506849,996393,,5.676132242,1.254903023
1080000,6239448,1364913,,5.777266667,1.263808333
1410000,8049951,1786635,,5.709185106,1.267117021
1784000,10206153,2266269,,5.72093778,1.270330157
2202000,12611199,2798520,,5.727156676,1.270899183
2664000,15277467,3392214,,5.73478491,1.273353604
3170000,18188568,4037091,,5.737718612,1.273530284
3720000,21363429,4744386,,5.742857258,1.275372581
4314000,25010100,5519439,,5.797426982,1.279424896
4952000,28494984,6346269,,5.75423748,1.281556745
5634000,32428416,7208559,,5.755842386,1.279474441
6360000,36679416,8144697,,5.767203774,1.280612736
7130000,41228403,9123405,,5.782384712,1.279579944
7944000,45740676,10174710,,5.757889728,1.280804381
,,,,,
Sum of all results: 2.70967e+14,,,,,
